::1 - - [25/Nov/2019:09:24:35 +0000] "POST /api/items HTTP/1.1" 201 158
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:40 +0000] "GET / HTTP/1.1" 200 23
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:40 +0000] "POST /api/items HTTP/1.1" 201 160
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:40 +0000] "GET /api/items HTTP/1.1" 200 4495
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:40 +0000] "POST /api/orders HTTP/1.1" 201 297
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:40 +0000] "DELETE /api/orders/26 HTTP/1.1" 200 34
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:40 +0000] "GET /api/items HTTP/1.1" 200 4495
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:59 +0000] "GET / HTTP/1.1" 200 23
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:59 +0000] "POST /api/items HTTP/1.1" 201 160
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:59 +0000] "GET /api/items HTTP/1.1" 200 4656
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:59 +0000] "POST /api/orders HTTP/1.1" 201 297
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:59 +0000] "DELETE /api/orders/27 HTTP/1.1" 200 34
::ffff:127.0.0.1 - - [25/Nov/2019:12:25:59 +0000] "GET /api/items HTTP/1.1" 200 4656
::ffff:127.0.0.1 - - [25/Nov/2019:12:27:03 +0000] "GET / HTTP/1.1" 200 23
::ffff:127.0.0.1 - - [25/Nov/2019:12:27:03 +0000] "POST /api/items HTTP/1.1" 201 160
::ffff:127.0.0.1 - - [25/Nov/2019:12:27:03 +0000] "GET /api/items HTTP/1.1" 200 4817
::ffff:127.0.0.1 - - [25/Nov/2019:12:27:03 +0000] "POST /api/orders HTTP/1.1" 201 297
::ffff:127.0.0.1 - - [25/Nov/2019:12:27:32 +0000] "GET / HTTP/1.1" 200 23
::ffff:127.0.0.1 - - [25/Nov/2019:12:27:32 +0000] "POST /api/items HTTP/1.1" 201 160
::ffff:127.0.0.1 - - [25/Nov/2019:12:27:32 +0000] "GET /api/items HTTP/1.1" 200 4978
::ffff:127.0.0.1 - - [25/Nov/2019:12:27:32 +0000] "POST /api/orders HTTP/1.1" 201 297
::ffff:127.0.0.1 - - [25/Nov/2019:12:28:02 +0000] "GET / HTTP/1.1" 200 23
::ffff:127.0.0.1 - - [25/Nov/2019:12:28:02 +0000] "POST /api/items HTTP/1.1" 201 160
::ffff:127.0.0.1 - - [25/Nov/2019:12:28:02 +0000] "GET /api/items HTTP/1.1" 200 5139
::ffff:127.0.0.1 - - [25/Nov/2019:12:28:02 +0000] "POST /api/orders HTTP/1.1" 201 297
::ffff:127.0.0.1 - - [25/Nov/2019:12:28:02 +0000] "DELETE /api/orders/30 HTTP/1.1" 200 34
